0	1.99	2.64	24.58	24.58	291.2	16.86	20.44
0	1.97	2.64	25.28	25.28	273.8	16.97	20.99
0	2.03	2.65	23.44	23.44	278.2	18.31	19.15
0.8	2.03	2.65	23.22	23.22	229.0	15.24	19.68
1.8	2.04	2.65	23.13	23.13	307.9	15.75	19.49
1.1	2.03	2.65	23.49	23.49	316.0	15.60	19.83
0.7	2.00	2.64	24.19	24.19	284.7	20.04	19.34
0	2.05	2.66	22.71	22.71	197.3	16.44	18.98
0	2.03	2.65	23.23	23.23	233.6	16.8	19.33
0	2.03	2.65	23.34	23.34	297.3	16.66	19.45
0	2.02	2.65	23.58	23.58	342.0	16.86	19.60
0	2.02	2.65	23.70	23.70	451.8	16.19	19.86
0	1.99	2.64	24.68	24.68	221.2	16.19	20.68
0	1.96	2.64	25.56	25.56	390.9	-1.0 	-1.0 
-1.0 	2.00	2.61	23.37	23.37	222.2	20.08	18.68
0	2.00	2.64	24.01	24.01	322.3	15.69	20.24
0	1.99	2.64	24.34	24.34	323.0	15.76	20.50
1.7	1.95	2.64	26.00	26.00	638.0	13.10	22.59
3.2	1.94	2.63	26.39	26.39	1486.2	11.47	23.36
0	1.97	2.64	25.41	25.41	439.4	15.29	21.52
0	1.95	2.63	25.84	25.84	404.1	16.69	21.53
-1.0 	1.93	2.63	26.5	26.5	416.3	14.3	22.71
0	1.95	2.63	25.67	25.67	1198.3	9.95	23.12
3.0	1.97	2.63	24.90	24.90	1449.0	8.07	22.89
8.5	2.02	2.64	23.48	23.48	587.5	8.97	21.37
21.9	2.34	2.65	11.43	11.43	113.8	18.50	9.31
3.5	1.91	2.63	27.42	27.42	778.5	16.04	23.02
0	1.96	2.64	25.78	25.78	333.6	-1.0 	-1.0 
0.8	1.95	2.65	26.09	26.09	384.1	-1.0 	-1.0 
2.5	2.17	2.68	19.18	19.18	0.2	74.97	4.80
-1.0 	2.45	2.66	7.89	7.89	0.05	80.71	1.52
20.4	2.36	2.69	12.16	12.16	0.2	88.76	1.37
1.1	1.97	2.64	25.32	25.32	410.2	16.18	21.22
0	1.97	2.65	25.42	25.42	246.7	16.41	21.25
-1.0 	1.97	2.63	25.09	25.09	388.7	14.73	21.39
0	2.13	2.66	20.03	20.03	10.7	48.36	10.34
0	1.96	2.64	25.70	25.70	377.9	13.10	22.33
0	2.00	2.65	24.52	24.52	358.9	16.13	20.57
0	2.00	2.64	24.32	24.32	414.3	15.77	20.48
2.3	1.95	2.64	25.94	25.94	370.0	20.64	20.59
0	2.01	2.65	24.13	24.13	375.4	15.74	20.33
1.9	1.96	2.63	25.40	25.40	0.09	15.54	21.45




